spermatogonia,meiosis prophase I,spermatid development,Sertoli_cell_GOtermSertoli cell development,ARTICLE:Meiotic Silencing in Mammals,piRNA process (GO+ARTICLE),genes on chr X and Y,,
3010003L21Rik,1700040D17Rik,Abhd2,Gata1,Sycp3,Asz1,Scml2,,
8030474K03Rik,4930579G24Rik,Ace,Ar,Smc1b,Mov10l1,Zfy2,,
9130401M01Rik,B3galnt1,Acrbp,Vim,Hormad1,Ddx4,Tfe3,,
A830080D01Rik,B630005N14Rik,Actl7a,Gata4,Hormad2,Stk31,Drp2,,
Acvr2b,Bod1l,Actl9,Sox9,Brca1,Tdrd1,Mid2,,
Aifm1,Ccdc61,Adam1b,Wt1,Mdc1,Piwil1,Mcts1,,
Aifm3,Ccnb1ip1,Adam20,Map7,Setx,Tdrd12,Egfl6,,
Aim1l,Ccp110,Adam21,Sox8,Ago4,Piwil2,Ddx3x,,
Aldoc,Cenpq,Adam24,Hsd17b4,Rad18,Tdrd7,Fmr1,,
Ammecr1,Cers2,Adam25,Dmrt1,H2ax,Piwil4,Dlg3,,
Ascl2,Cers3,Adam26a,Il1a,Zfy1,Fkbp6,Araf,,
Asphd2,Churc1,Adam26b,Rab13,Zfy2,Tdrd6,Cfp,,
Atad5,Cks2,Adam29,Nup210l,,Mael,Timp1,,
Atic,Commd4,Adam3,Ntrk1,,Tdrkh,Uxt,,
Atp2b1,Cwc27,Adam30,Atrx,,Pld6,Ocrl,,
Auts2,Ddx39,Adam34,Flna,,Henmt1,Uba1,,
Bahcc1,Dnajc3,Adam39,Fshr,,Gpat2,Fam50a,,
Bax,Fbxo3,Adam4,Fndc3a,,Ankrd34c,Emd,,
Bex1,Glipr1l2,Adam6a,Icam1,,Exd1,Gria3,,
Bex2,Gm26782,Adam6b,Adrm1,,Tdrd9,Pdzd4,,
Cbx2,Gml,Ak1,Arid4b,,Tdrd5,Srpk3,,
Ccna2,Gml2,Ak2,Akap9,,Pnldc1,Idh3g,,
Ccnd1,H2afx,Ak8,Cftr,,Mybl1,Pnck,,
Cdc42se2,Hnrnpa0,Akap14,Sox3,,Tex15,Ssr4,,
Cdca7,Iqcb1,Akap3,Arid4a,,Spocd1,Bcap31,,
Cdk2ap2,Lactb,Akap4,Gja1,,Aub,Ikbkg,,
Cdkn2a,Ly6k,Aldoart1,,,Ago3,Clcn5,,
Cdt1,Maz,Atp1a4,,,GM38999,Sh2d1a,,
Cenpa,Meiob,AU040320,,,Csnk2a1,Cnga2,,
Chuk,Mir17hg,Cabs1,,,Csnk2b,Rhox6,,
Cited1,Mlc1,Cabyr,,,Csnk2a2,Pgrmc1,,
Clspn,Mnd1,Calm1,,,Btbd18,Steep1,,
Crabp1,Mov10l1,Capzb,,,Alkbh1,Pola1,,
Crlf3,Mrpl27,Catsper1,,,Zbtb32,Mid1ip1,,
Csnk1e,Mtg2,Catsper2,,,Tdrd3,Rpl10,,
Ctnnbip1,Mtl5,Catsper4,,,Hspa2,Elk1,,
Ctps,Nae1,Catsperb,,,,Taf7l,,
