"","V1"
"1","Abhd2"
"2","Acrbp"
"3","Actl7a"
"4","Actl9"
"5","Adad1"
"6","Akap4"
"7","Armc12"
"8","AU040320"
"9","Cabyr"
"10","Catsper2"
"11","Catsper3"
"12","Catsper4"
"13","Catsperb"
"14","Catsperd"
"15","Ccdc136"
"16","Ccdc38"
"17","Ccdc42"
"18","Ccdc62"
"19","Ccdc63"
"20","Cdyl"
"21","Cep128"
"22","Cep57"
"23","Cfap157"
"24","Cfap206"
"25","Cfap43"
"26","Cfap44"
"27","Cfap58"
"28","Cfap69"
"29","Chd5"
"30","Cib1"
"31","Ddias"
"32","Ddx25"
"33","Dpy19l2"
"34","Dzip1"
"35","Efcab9"
"36","Epc1"
"37","Eqtn"
"38","Fam209"
"39","Fndc3a"
"40","Fscn3"
"41","Fsip2"
"42","Fxr1"
"43","Galntl5"
"44","Gk2"
"45","Gm1993"
"46","Gm2012"
"47","Gm6121"
"48","Hook1"
"49","Ica1l"
"50","Iqcf1"
"51","Iqcg"
"52","Klc3"
"53","Klhl10"
"54","Mns1"
"55","Nme5"
"56","Nsun2"
"57","Osbp2"
"58","Pacrg"
"59","Pafah1b1"
"60","Pcsk4"
"61","Pdilt"
"62","Pebp1"
"63","Pfn4"
"64","Pln"
"65","Prm1"
"66","Prm2"
"67","Psme4"
"68","Rec8"
"69","Rfx2"
"70","Ropn1"
"71","Ropn1l"
"72","Rsph6a"
"73","Sec23ip"
"74","Slc22a14"
"75","Slxl1"
"76","Sox30"
"77","Spaca1"
"78","Spag16"
"79","Spag17"
"80","Spag6"
"81","Spag6l"
"82","Spata16"
"83","Spef2"
"84","Spem1"
"85","Spink2"
"86","Sppl2c"
"87","Sun5"
"88","Tarbp2"
"89","Tbc1d20"
"90","Tbc1d21"
"91","Tbpl1"
"92","Tcp11"
"93","Tmf1"
"94","Tnp1"
"95","Tnp2"
"96","Tsga8"
"97","Tssk1"
"98","Tssk2"
"99","Tssk3"
"100","Tssk4"
"101","Tssk6"
"102","Ttc12"
"103","Ttc21a"
"104","Ttll1"
"105","Tuba8"
"106","Ube2j1"
"107","Vdac3"
"108","Zmynd15"
"109","Zpbp"
"110","Zpbp2"
