spermatogonia,meiosis prophase I,sperm_assembly
3010003L21Rik,1700040D17Rik,Abhd2
8030474K03Rik,4930579G24Rik,Ace
9130401M01Rik,B3galnt1,Acrbp
A830080D01Rik,B630005N14Rik,Actl7a
Acvr2b,Bod1l,Actl9
Aifm1,Ccdc61,Adam1b
Aifm3,Ccnb1ip1,Adam20
Aim1l,Ccp110,Adam21
Aldoc,Cenpq,Adam24
Ammecr1,Cers2,Adam25
Ascl2,Cers3,Adam26a
Asphd2,Churc1,Adam26b
Atad5,Cks2,Adam29
Atic,Commd4,Adam3
Atp2b1,Cwc27,Adam30
Auts2,Ddx39,Adam34
Bahcc1,Dnajc3,Adam39
Bax,Fbxo3,Adam4
Bex1,Glipr1l2,Adam6a
Bex2,Gm26782,Adam6b
Cbx2,Gml,Ak1
Ccna2,Gml2,Ak2
Ccnd1,H2afx,Ak8
Cdc42se2,Hnrnpa0,Akap14
Cdca7,Iqcb1,Akap3
Cdk2ap2,Lactb,Akap4
Cdkn2a,Ly6k,Aldoart1
Cdt1,Maz,Atp1a4
Cenpa,Meiob,AU040320
Chuk,Mir17hg,Cabs1
Cited1,Mlc1,Cabyr
Clspn,Mnd1,Calm1
Crabp1,Mov10l1,Capzb
Crlf3,Mrpl27,Catsper1
Csnk1e,Mtg2,Catsper2
Ctnnbip1,Mtl5,Catsper4
Ctps,Nae1,Catsperb
Ctsd,Nespas,Catsperd
Dcaf4,Pcgf5,Catsperg2
Dck,Pdcd7,Ccdc136
Dctd,Pex7,Ccdc181
Ddhd2,Piwil2,Ccdc38
Depdc7,Pnisr,Ccdc42
Dicer1,Qsox2,Cep128
Dkc1,Rad1,Cfap53
Dlk1,Rbm17,Cfap58
Dmrt1,Rbm46,Cfap69
Dnmt3b,Rnf6,Cfap70
Dynlrb1,Rpap3,Dcdc2c
Ebpl,Rsrp1,Efcab2
Eci1,Sap30l,Efcab9
Ehmt1,Setx,Enkur
Elavl2,Sft2d1,Eno4
Esco2,Stk31,Eqtn
Esrp1,Sycp1,Fam209
Fam50a,Sycp2,Fscb
Fam60a,Sycp3,Fsip2
Fbxo5,Tacc1,Gabarap
Fbxw2,Tdrd5,Gapdhs
Fermt2,Tex101,Gas8
Fmr1,Tm2d3,Gk2
Foxf1,Tmem159,Glipr1l1
Foxo1,Ube2e2,Gm4787
Fsd1,Ube2t,Gstm5
Fthl17c,Usp40,Ift172
Fthl17f,Wdr83os,Ift81
Galnt12,,Il4i1
Gcat,,Iqcg
Gm15262,,Kif2a
Gm26785,,Kif9
Gnb4,,Ldha
Gsr,,Lyzl4
Gsto1,,Lyzl6
Hccs,,Lztfl1
Hdac6,,Meig1
Hells,,Mns1
Hist1h2ap,,Morn5
Hmgb3,,Nme5
Hmox1,,Nme8
Homer2,,Oaz3
Hprt,,Odf2
Hsd17b10,,Odf4
Igfbp2,,Pacrg
Irf2bpl,,Pafah1b1
Kif26a,,Pde1a
Klf11,,Pfkm
Klf7,,Pfn4
Kmt2a,,Pgk2
Ldb1,,Plcz1
Lin28a,,Pln
Lman1,,Pmfbp1
Lmo1,,Ppp1r42
Lonrf3,,Ppp3cc
Lrr1,,Ppp3r2
Mafg,,Prkaca
Map7d2,,Prkar1a
Mbnl3,,Rabl2
Mcm2,,Ran
Mcm3,,Rnf38
Mex3a,,Ropn1
Mfge8,,Rsph6a
Mmd,,Rsph9
Myh6,,Saxo1
Myo1b,,Saxo2
Nanos1,,Sec23ip
Ndrg4,,Slc22a14
Nme4,,Slc26a8
Noc2l,,Slc9b1
Nr2f6,,Slirp
Nt5dc2,,Sox30
Nudt17,,Spa17
Ostf1,,Spaca1
P3h3,,Spaca3
Patz1,,Spaca5
Polr2h,,Spag16
Pop1,,Spag17
Ppdpf,,Spag6
Ppp1ca,,Spag6l
Pprc1,,Spata18
Pramef12,,Spata19
Prr5,,Spata33
Prtg,,Spata6
Psme1,,Spatc1l
Psme2,,Spef2
Rab26os,,Spem1
Rbmx2,,Spink2
Rbp4,,Sppl2c
Rcan3,,Ssxb1
Rcor2,,Ssxb3
Rhox10,,Ssxb6
Rhox13,,Sun5
Rock2,,Tbc1d20
Rpa2,,Tbc1d21
Rpl36a,,Tbpl1
Rpl39,,Tcp11
Sall4,,Tcte1
Scaf11,,Tekt3
Selm,,Tekt4
Serpine2,,Tekt5
Sertad4,,Tmem232
Sh3bp1,,Tmf1
Sh3glb2,,Tppp2
Siah1b,,Tsga10
Sms,,Tssk4
Snhg11,,Ttc29
Snx12,,Ttll3
Snx16,,Txndc2
Sohlh1,,Txndc8
Sox4,,Vdac2
Spin1,,Vps13a
Stra8,,Zpbp
Syngr1,,Zpbp2
Taf1,,
Taf7l,,
Tcf3,,
Tex11,,
Tex13,,
Tk1,,
Tmem14c,,
Tsc22d3,,
Tubb5,,
Uap1l1,,
Ubtf,,
Vkorc1,,
Vma21,,
Zbtb16,,
Zfp292,,
Zfyve21,,
Zglp1,,
Zrsr2,,
