spermatid_differentiation                                            ,spermatid_development                                                ,apical_tubulobulbar_complex                                          ,spermatid_nucleus_elongation                                         ,spermatocyte_division                                                ,sperm_D_condensation                                               ,concave_side_of_sperm_head                                           ,apical_ectoplasmic_specialization                                    ,sperm_head                                                           ,tubulobulbar_complex                                                 ,sperm_flagellum                                                      ,sperm_cytoplasmic_droplet                                            ,manchette                                                            ,sperm_individualization                                              ,acrosome_assembly                                                    
Gm1993,Gm1993,Dnm3,Kdm3a,Spata22,Psme4,Ddx6,Atp2a2,Plcz1,Dnm3,Il4i1,Pithd1,Meig1,Spem3,AU040320
Gm2012,Gm2012,Actr3,Ift88,Tafazzin,Brdt,Actr3,Actr3,Adam3,Arpc1b,Ttll3,Ift172,Dync1h1,Spem1,Actl7a
Gm2030,Gm2030,,Tnp1,Topaz1,Epc1,Arpc2,,Adam4,Actr3,Septin10,Nme8,Ran,,Mfsd14a
Gm14525,Gm14525,,H1f7,,Fshr,,,Aldoa,,Gas8,Ropn1,Spin,,Agfg1
Gm16430,Gm16430,,Dmrtc2,,Prm1,,,Ddx6,,Catsperd,,Strbp,,Pafah1b1
Gm10488,Gm10488,,Cfap61,,Sycp1,,,Adam26a,,Hyal3,,Ift88,,Pln
Gm10230,Gm10230,,,,Sycp3,,,Adam24,,Rap1a,,Cfap221,,Nectin2
Gm4297,Gm4297,,,,Tnp1,,,Hsp90ab1,,Dh1,,Ccdc38,,Rfx2
Cfap43,Cfap43,,,,Tnp2,,,Rho,,Ace,,Rimbp3,,Sec23ip
AU040320,AU040320,,,,Chd5,,,Tacr1,,Ak1,,Spef2,,Sox30
Tsga8,Tsga8,,,,H2bc1,,,Tacr2,,Ak2,,Spag6l,,Tmf1
Gm28576,Gm28576,,,,Piwil1,,,Gm4787,,Akap3,,Actr1a,,Ccdc136
Bbs4,Bbs4,,,,Rnf8,,,Ccdc38,,Akap4,,Ift20,,Tbpl1
Psme4,Psme4,,,,H2al2a,,,Adam25,,Aldoa,,Pacrg,,Pla2g3
Kdm3a,Spem3,,,,H1f7,,,Adam6b,,Atp1a1,,Ppp1r42,,Sppl2c
Meig1,Gm20824,,,,Kat5,,,Adam6a,,Atp1b1,,Iqcg,,Garin1a
Spem3,Catsperd,,,,Tssk6,,,Adam29,,Atp1b3,,Spmip6,,Ccdc42
Gm20824,Gm21865,,,,Selenof,,,Scaper,,Calm1,,Lrguk,,Garin1b
Catsperd,Gm20843,,,,,,,Pcdh11x,,Capzb,,Spag17,,Pfn4
Gm21865,Gm20890,,,,,,,Adam34,,Ccr6,,Ccdc181,,Zpbp
Gm20843,Gm21627,,,,,,,Adam1b,,Ift81,,Lztfl1,,Acrbp
Gm20890,Gm20911,,,,,,,Adam1a,,Ctsh,,,,Vps13b
Gm21627,Gm21117,,,,,,,Opn4,,Ddx6,,,,Tbc1d20
Gm20911,Tpgs1,,,,,,,Adam26b,,Defb1,,,,Spaca1
Gm21117,Dh1,,,,,,,Adam20,,Dh8,,,,Eqtn
Tpgs1,Actl7a,,,,,,,Adam34l,,Slc26a3,,,,Zpbp2
Dh1,Akap4,,,,,,,Adam39,,Drd2,,,,Actl9
Ehmt2,Cep131,,,,,,,Adam21,,Gapdhs,,,,Spink2
