SSC self-renewal ~ initiation of differentiation,Spermatogonial differentiation ~ meiotic entry,meiosis prophase I
Zfp292,Rpl39,Maz
Zbtb16,Prss50,Pex7
Ubtf,Rhox13,Gml2
Uap1l1,Cited1,B3galnt1
Tubb5,Hist1h2ap,Ccnb1ip1
Tcf3,Ctsd,Iqcb1
Sox4,Map7d2,Gml
Sohlh1,Selm,Cers2
Sh3glb2,Elavl2,Cnih4
Sh3bp1,Rbp4,Fbxo3
Sertad4,Atp2b1,Cwc27
Serpine2,Rbmx2,Meiob
Scaf11,Hprt,Mov10l1
Sall4,Syngr1,Tm2d3
Rhox10,Hccs,Churc1
Rcor2,Zglp1,Pcgf5
Rcan3,Tex13,Sap30l
Rab26os,Fthl17c,B630005N14Rik
Psme2,Mbnl3,Pdcd7
Psme1,A830080D01Rik,Stk31
Prtg,Tk1,Rnf6
Prr5,Stra8,Mir17hg
Pramef12,Gm15262,Qsox2
Pprc1,Hells,Mlc1
Pop1,Vkorc1,Ccdc61
Patz1,Tex11,Gm26782
P3h3,Snx16,Wdr83os
Nr2f6,Fbxo5,Mrpl27
Noc2l,Trap1a,Mnd1
Ndrg4,Nudt17,Ppp1cb
Nanos1,Ddhd2,Cenpq
Myo1b,Esco2,Sft2d1
Myh6,Bex2,Ube2t
Mmd,Mfge8,Nespas
Mex3a,Kmt2a,Tdrd5
Mafg,Chuk,Ube2e2
Lonrf3,Lman1,Ddx39
Lmo1,Cdkn2a,Tex101
Lin28a,Vma21,4930579G24Rik
Klf7,Mcm3,Mtg2
Klf11,Hsd17b10,Tacc1
Kif26a,Sms,Setx
Irf2bpl,Fmr1,Rsrp1
Homer2,Cdk2ap2,Tmem159
Hmox1,Snhg11,Sycp1
Hdac6,Lrr1,Dazl
Gsto1,8030474K03Rik,Hnrnpa0
Gsr,Rock2,Cks2
Gnb4,Ctnnbip1,Dnajc3
Gm26785,Hspd1,Pnisr
Gcat,Fbxw2,Rad1
Galnt12,Dkc1,Piwil2
Fsd1,Atad5,Rbm17
Foxo1,Nme4,Commd4
Foxf1,Ebpl,Mtl5
Fam60a,Cdc42se2,Rpap3
Esrp1,Dynlrb1,Bod1l
Dnmt3b,Rpa2,Fra10ac1
Dmrt1,Taf7l,Sycp3
Dlk1,Fam50a,Sycp2
Dicer1,Fermt2,Srrm1
Depdc7,Fthl17f,Lactb
Dctd,Dck,Ssu72
Dcaf4,Zfyve21,1700040D17Rik
Csnk1e,Nt5dc2,Cers3
Crabp1,Ostf1,Usp40
Cdt1,Ammecr1,Rbm46
Cbx2,Cbx1,Ccp110
Bex1,,Nae1
Bahcc1,,H2afx
Atic,,Ly6k
Asphd2,,Glipr1l2
Ascl2,,
Aldoc,,
Aim1l,,
Aifm3,,
Aifm1,,
9130401M01Rik,,
3010003L21Rik,,
